agency,programme,indicator,2025,target_2026,agency_id,ministry,type,sector,agency_type
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of high-risk workplaces inspected by osh officers,879,900,agency 38,ministry of labour and manpower planning,output,social protection and welfare,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of safety-related training programmes executed with the oil and gas related industries,6,8,agency 38,ministry of labour and manpower planning,output,natural resources,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of societies registered,53,30,agency 38,ministry of labour and manpower planning,output,economic development,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of inactive societies cancelled,0,100,agency 38,ministry of labour and manpower planning,output,administration,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of co-operative societies resuscitated,5,20,agency 38,ministry of labour and manpower planning,output,economic development,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of friendly societies converted to co-operative societies,33,20,agency 38,ministry of labour and manpower planning,output,economic development,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of inspections of societies conducted,307,350,agency 38,ministry of labour and manpower planning,output,governance,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of investigations into societies conducted,108,120,agency 38,ministry of labour and manpower planning,output,governance,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of inquiries/ arbitration into societies conducted,0,10,agency 38,ministry of labour and manpower planning,output,governance,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of settlement of disputes conducted,15,25,agency 38,ministry of labour and manpower planning,output,governance,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of audits of societies conducted,92,100,agency 38,ministry of labour and manpower planning,output,governance,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of registered members of co-operatives,40000,,agency 38,ministry of labour and manpower planning,output,administration,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,supervision and regulation of co-operative and friendly societies,522,,agency 38,ministry of labour and manpower planning,output,social protection and welfare,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,382 - labour administration services,number of persons trained under the aml/ cft training programs ,74,150,agency 38,ministry of labour and manpower planning,output,governance,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,383 - manpower planning,number of persons registered (unemployed persons seeking employment),3557,5000,agency 38,ministry of labour and manpower planning,output,economic development,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,383 - manpower planning,number of notifications (vacancies received),1434,2000,agency 38,ministry of labour and manpower planning,output,administration,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,383 - manpower planning,number of persons submitted for placement,283,1800,agency 38,ministry of labour and manpower planning,output,economic development,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,383 - manpower planning,number of (unemployed) persons placed in active employment,561,2000,agency 38,ministry of labour and manpower planning,outcome,economic development,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,383 - manpower planning,number of visits conducted to solicit vacancies,1253,2000,agency 38,ministry of labour and manpower planning,output,administration,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,383 - manpower planning,number of persons trained through bit programmes by sex,"3,587 (M:1,645, F:1,942)",2346,agency 38,ministry of labour and manpower planning,output,economic development,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,383 - manpower planning,number of persons in training through bit programmes by sex,0,6031,agency 38,ministry of labour and manpower planning,output,economic development,ministry
AGENCY 38 - MINISTRY OF LABOUR AND MANPOWER PLANNING ,383 - manpower planning,number of persons trained under the national apprenticeship programme,314,400,agency 38,ministry of labour and manpower planning,output,economic development,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,391 - policy development and administration,number of legislation drafted to address the social services responsibilities of government,0,2,agency 39,ministry of human services and social security,output,governance,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,391 - policy development and administration,number of policies drafted to address the social services responsibilities of government,7,2,agency 39,ministry of human services and social security,output,governance,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,391 - policy development and administration,percentage of budgetary allocation expended,91%,100%,agency 39,ministry of human services and social security,output,efficiency,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,391 - policy development and administration,number of public outreaches executed,75,100,agency 39,ministry of human services and social security,output,social protection and welfare,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,392 - social services,number of beneficiaries of old age pension,94259,106100,agency 39,ministry of human services and social security,outcome,social protection and welfare,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,392 - social services,number of beneficiaries of public assistance disaggregated by gender and age,19609,25000,agency 39,ministry of human services and social security,outcome,social protection and welfare,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,392 - social services,number of beneficiaries of permanent disability assistance by sex,26759,30300,agency 39,ministry of human services and social security,outcome,social protection and welfare,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,392 - social services,number of persons with disability receiving training,767,1040,agency 39,ministry of human services and social security,output,social protection and welfare,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,392 - social services,number of elderly residential facilities meeting minimum operating standards,0,1,agency 39,ministry of human services and social security,outcome,social protection and welfare,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,392 - social services,number of youths in conflict with the law accessing rehabilitation programmes,22,25,agency 39,ministry of human services and social security,outcome,social protection and welfare,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,392 - social services,number of women benefitting from empowerment programmes,4970,8000,agency 39,ministry of human services and social security,outcome,social protection and welfare,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,392 - social services,number of sensitisation and awareness programmes aimed at promoting gender equality,86,95,agency 39,ministry of human services and social security,output,social protection and welfare,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,392 - social services,"number of programmes and campaigns targeting the elimination of sexual, domestic and gender-based violence",61,110,agency 39,ministry of human services and social security,output,social protection and welfare,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,392 - social services,number of indigent persons in residential facilities,359,380,agency 39,ministry of human services and social security,outcome,social protection and welfare,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,392 - social services,number of reported cases of trafficking in persons,Cases: 30 VoTs: 390,Cases: 20 VoTs: 300,agency 39,ministry of human services and social security,output,security_justice,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,392 - social services,number of victims of trafficking provided with shelter services,225,200,agency 39,ministry of human services and social security,outcome,social protection and welfare,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,392 - social services,number of reported cases of domestic/gender-based violence,1823,1600,agency 39,ministry of human services and social security,output,security_justice,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,392 - social services,number of victims of domestic violence/sexual offences provided with shelter services,55,55,agency 39,ministry of human services and social security,outcome,social protection and welfare,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,392 - social services,number of femicide cases,22,0,agency 39,ministry of human services and social security,outcome,security_justice,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,393 - child care and protection,number of reported cases of child abuse,3953,3800,agency 39,ministry of human services and social security,outcome,security_justice,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,393 - child care and protection,number of children affected by child abuse reunified with (returned to) their biological family,87,135,agency 39,ministry of human services and social security,outcome,social protection and welfare,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,393 - child care and protection,number of children assessed as abused placed in alternative care (safe homes) annually,245,160,agency 39,ministry of human services and social security,outcome,social protection and welfare,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,393 - child care and protection,"number of vulnerable families provided with psychosocial services (counselling, education and training, etc)",5356,6500,agency 39,ministry of human services and social security,output,education,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,393 - child care and protection,number of adoptions approved by the adoption board annually,25,55,agency 39,ministry of human services and social security,output,social protection and welfare,ministry
AGENCY 39 - MINISTRY OF HUMAN SERVICES AND SOCIAL SECURITY,393 - child care and protection,number of custody evaluation reports submitted to the family court upon the request of the judge,130,110,agency 39,ministry of human services and social security,output,security_justice,ministry
